parish,parish_full,station_id,station_name,station_latitude,station_longitude,datacoverage,distance_km
Concordia,Concordia Parish,GHCND:USC00164739,"JONESVILLE LOCKS, LA US",31.4825,-91.8627,0.9326,23.329540306791653
Livingston,Livingston Parish,GHCND:USC00165438,"LIVINGSTON, LA US",30.5197,-90.7544,0.9922,13.91504586620605
Allen,Allen Parish,GHCND:USC00166938,"OBERLIN FIRE TOWER, LA US",30.6036,-92.7739,0.9915,7.800928183751437
Beauregard,Beauregard Parish,GHCND:USC00165074,"LAKE CHARLES 2 N, LA US",30.2544,-93.2186,0.9914,51.713532981818524
Lafourche,Lafourche Parish,GHCND:USW00012930,"NEW ORLEANS AUDUBON, LA US",29.9166,-90.1302,0.9547,60.48812369047685
LaSalle,LaSalle Parish,GHCND:USW00013935,"ALEXANDRIA ESLER FIELD, LA US",31.3963,-92.28278,0.8417,32.03001891928008
Pointe Coupee,Pointe Coupee Parish,GHCND:USC00166686,"NEW ROADS 5 NE, LA US",30.7268,-91.3672,0.8892,34.45506893263729
Caddo,Caddo Parish,GHCND:USC00166364,"MOORINGSPORT 1 N, LA US",32.7052,-93.9602,0.985,14.406885069484447
West Carroll,West Carroll Parish,GHCND:USC00166866,"OAK GROVE, LA US",32.8641,-91.38,0.9246,13.4066428256186
Franklin,Franklin Parish,GHCND:USC00161979,"COLUMBIA LOCK, LA US",32.1673,-92.10769,0.9949,45.56238787159059
Jefferson Davis,Jefferson Davis Parish,GHCND:USC00164700,"JENNINGS, LA US",30.2002,-92.6641,0.9941,19.928530023633893
Claiborne,Claiborne Parish,GHCND:USC00160800,"BIENVILLE 3 NE, LA US",32.3744,-92.9433,0.9946,56.52713339838582
Richland,Richland Parish,GHCND:USW00013942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,0.9054,35.8048678122451
St. Martin,St. Martin Parish,GHCND:USW00013976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,0.9969,24.921633815683286
Grant,Grant Parish,GHCND:USC00161232,"BOYCE 3 WNW, LA US",31.39511,-92.71665,0.9933,30.943935355352618
Washington,Washington Parish,GHCND:USC00162151,"COVINGTON 8 WNW, LA US",30.52681,-90.21471,0.8723,44.223164976228404
Lafayette,Lafayette Parish,GHCND:USW00013976,"LAFAYETTE REGIONAL AIRPORT, LA US",30.19859,-91.98957,0.9969,13.8442269301619
De Soto,De Soto Parish,GHCND:USC00165522,"LOGANSPORT, LA US",31.9672,-94.0002,0.8053,29.16394151437963
Winn,Winn Parish,GHCND:USC00161979,"COLUMBIA LOCK, LA US",32.1673,-92.10769,0.9949,63.2150747521486
West Baton Rouge,West Baton Rouge Parish,GHCND:USC00167448,"PORT ALLEN, LA US",30.4508,-91.2183,0.9792,14.243004062347245
St. Mary,St. Mary Parish,GHCND:USC00164674,"JEANERETTE 5 NW, LA US",29.95938,-91.71118,0.8622,55.63783662446439
Calcasieu,Calcasieu Parish,GHCND:USC00168831,"SULPHUR, LA US",30.2383,-93.3447,0.9546,4.274972778797505
Union,Union Parish,GHCND:USW00013942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,0.9054,54.73739210134259
Vernon,Vernon Parish,GHCND:USC00165266,"LEESVILLE, LA US",31.1416,-93.2397,0.8414,7.0396994530043
Rapides,Rapides Parish,GHCND:USC00160098,"ALEXANDRIA, LA US",31.3205,-92.4611,0.9822,17.014175204121006
Sabine,Sabine Parish,GHCND:USC00165266,"LEESVILLE, LA US",31.1416,-93.2397,0.8414,54.32273672152669
Morehouse,Morehouse Parish,GHCND:USW00013942,"MONROE REGIONAL AIRPORT, LA US",32.51552,-92.02995,0.9054,38.993434696651384
Madison,Madison Parish,GHCND:USC00168163,"ST. JOSEPH 3 N, LA US",31.9497,-91.2336,0.8376,56.16819152231754
Ascension,Ascension Parish,GHCND:USC00163695,"GONZALES, LA US",30.2033,-90.9225,0.9956,3.3877927387528843
